,sport_match,location_match,time_match,label,query,venue_id
0,0,2,1,1,sân Pickleball ở Quận 7 vào buổi sáng,v-001
1,0,2,1,1,sân Pickleball ở Quận 7 vào buổi sáng,v-001
2,0,2,1,1,sân Pickleball ở Quận 7 vào buổi sáng,v-001
3,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-002
4,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-002
5,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-002
6,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-002
7,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-002
8,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-003
9,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-003
10,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-003
11,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-003
12,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-004
13,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-004
14,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-004
15,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-005
16,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-005
17,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-005
18,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-005
19,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-005
20,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-006
21,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-006
22,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-006
23,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-006
24,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-006
25,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-007
26,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-007
27,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-007
28,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-007
29,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-007
30,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-008
31,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-008
32,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-008
33,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-008
34,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-009
35,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-009
36,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-010
37,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-010
38,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-010
39,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-011
40,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-011
41,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-011
42,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-011
43,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-011
44,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-012
45,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-012
46,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-013
47,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-013
48,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-013
49,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-013
50,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-013
51,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-014
52,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-014
53,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-014
54,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-014
55,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-014
56,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-015
57,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-015
58,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-015
59,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-015
60,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-016
61,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-016
62,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-016
63,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-016
64,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-016
65,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-017
66,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-017
67,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-018
68,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-018
69,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-018
70,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-018
71,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-018
72,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-019
73,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-019
74,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-019
75,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-020
76,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-020
77,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-020
78,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-020
79,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-021
80,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-021
81,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-021
82,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-021
83,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-022
84,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-022
85,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-023
86,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-023
87,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-023
88,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-023
89,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-023
90,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-024
91,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-024
92,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-025
93,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-025
94,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-025
95,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-025
96,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-025
97,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-026
98,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-026
99,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-027
100,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-027
101,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-027
102,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-027
103,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-028
104,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-028
105,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-028
106,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-028
107,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-028
108,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-029
109,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-029
110,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-029
111,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-030
112,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-030
113,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-030
114,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-030
115,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-031
116,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-031
117,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-032
118,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-032
119,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-033
120,0,0,1,0,sân Pickleball ở Quận 7 vào buổi sáng,v-033
